,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
1810,USHL,11575/dave-spina,F,2001,18.277778,23,3,7,10,0.434783,1,1,23,1,0,DY,R,No,0.0,0,0
1835,USHL,11591/reid-cashman,D,2003,20.502778,56,5,42,47,0.8392860000000001,1,1,56,1,0,DY+2,L,No,0.0,0,0
1995,USHL,116428/mick-kohler,F,2018,20.561111,51,9,16,25,0.490196,1,1,51,1,0,DY+2,L,No,0.0,0,0
2038,USHL,116581/marco-richter,F,2015,19.822222,43,8,5,13,0.30232600000000004,1,1,43,1,0,DY+1,L,No,0.0,0,0
2211,USHL,116983/dylan-mclaughlin,F,2015,20.277778,60,8,31,39,0.65,4,4,214,0,1,DY+2,L,No,0.0,0,0
2217,USHL,116987/mac-macsorley,F,2013,17.736110999999998,22,2,1,3,0.136364,1,1,22,1,0,DY-1,L,No,0.0,0,0
2277,USHL,117014/luke-shiplo,D,2014,19.291667,47,1,6,7,0.14893599999999999,2,2,93,0,0,DY+1,L,No,0.0,0,0
2366,USHL,11719/joe-jensen,F,2002,19.608333,57,20,26,46,0.807018,2,2,113,0,0,DY+1,L,Yes,0.166667,6,1
2429,USHL,11742/tim-hambly,D,2001,18.219444,17,1,8,9,0.529412,1,0,17,1,0,DY,L,No,0.0,0,0
2448,USHL,11746/ryan-carter,F,2004,21.116667,59,22,23,45,0.762712,2,2,114,0,0,DY+3,L,No,0.0,0,0
2451,USHL,117474/david-trinkberger,D,2016,20.055556,43,1,1,2,0.046512,2,2,84,0,0,DY+2,L,No,0.0,0,0
2478,USHL,117575/ed-wittchow,D,2012,19.875,60,5,13,18,0.3,1,1,60,1,0,DY+1,L,Yes,0.0,0,0
2481,USHL,117576/neal-goff,D,2014,21.0,58,2,7,9,0.155172,3,3,147,0,1,DY+3,L,No,0.0,0,0
2482,USHL,117577/tony-cameranesi,F,2012,19.091667,55,18,24,42,0.763636,1,1,55,1,0,DY+1,R,Yes,0.0,0,0
2484,USHL,11758/tom-galvin,D,2000,20.869444,58,9,33,42,0.7241380000000001,2,2,113,0,0,DY+2,R,No,0.0,0,0
2514,USHL,11773/danny-irmen,F,2003,19.025,45,21,34,55,1.222222,2,2,106,0,0,DY+1,R,Yes,0.0,2,1
2527,USHL,118006/tucker-poolman,D,2014,21.269444,58,15,26,41,0.706897,2,2,122,0,0,DY+3,R,Yes,0.083333,24,1
2529,USHL,118008/gage-ausmus,D,2013,18.397222,26,2,4,6,0.230769,2,2,62,0,0,DY,L,Yes,0.0,0,0
2530,USHL,118012/eric-brenk,F,2012,18.377778,43,2,5,7,0.16279100000000002,1,1,43,1,0,DY,L,No,0.0,0,0
2531,USHL,118020/john-simonson,F,2014,21.247222,58,28,31,59,1.017241,1,1,58,1,0,DY+3,L,No,0.0,0,0
2533,USHL,118023/josh-erickson,F,2013,20.163889,43,4,5,9,0.209302,2,2,89,0,0,DY+2,L,No,0.0,0,0
2536,USHL,118081/aapeli-rasanen,F,2017,19.288889,38,7,18,25,0.657895,1,1,38,1,0,DY+1,R,Yes,0.0,0,0
2538,USHL,118096/sam-wolfe,D,2013,19.927778,14,0,3,3,0.214286,1,0,14,1,0,DY+1,R,No,0.0,0,0
2541,USHL,118099/judd-peterson,F,2014,20.966667,47,16,15,31,0.659574,2,2,93,0,0,DY+2,R,Yes,0.0,0,0
2544,USHL,11818/arpad-mihaly,F,2000,20.216667,18,1,6,7,0.388889,1,0,18,1,0,DY+2,L,No,0.0,0,0
2547,USHL,11819/jeff-corey,F,2002,19.930556,56,15,28,43,0.767857,3,3,149,0,1,DY+1,R,No,0.0,0,0
2578,USHL,118430/taylor-cammarata,F,2013,18.338889,59,38,55,93,1.576271,2,2,119,0,0,DY,L,Yes,0.0,0,0
2584,USHL,118432/michael-downing,D,2013,18.322222,52,3,20,23,0.442308,2,2,106,0,0,DY,L,Yes,0.0,0,0
2589,USHL,118433/patrick-polino,F,2016,21.427778,39,13,16,29,0.74359,5,4,208,0,1,DY+3,L,No,0.0,0,0
2592,USHL,118434/alex-smith,D,2014,19.625,18,2,2,4,0.22222199999999998,3,0,77,0,0,DY+1,R,No,0.0,0,0
2595,USHL,118435/jordan-gross,D,2014,19.35,50,2,23,25,0.5,3,2,120,0,0,DY+1,R,No,0.0,0,0
