LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,10411/cody-mcleod,F,2005,21.219444,70,31,29,60,0.857143,4,4,257,0,1,DY+3,L,No,0.0,0,0
WHL,104226/brett-lernout,D,2015,19.975,72,14,28,42,0.583333,3,3,203,0,1,DY+1,R,Yes,0.047619,21,1
WHL,10429/karl-alzner,D,2008,19.975,60,7,29,36,0.6,4,4,259,0,1,DY+1,L,Yes,0.190616,682,1
WHL,10431/cody-franson,D,2007,20.102778,59,17,34,51,0.8644069999999999,3,3,194,0,1,DY+2,R,Yes,0.385455,550,1
WHL,10432/dustin-kohn,D,2007,20.619444,61,5,45,50,0.819672,4,4,253,0,1,DY+2,L,Yes,0.181818,22,1
WHL,10434/codey-burki,F,2007,19.827778,70,36,49,85,1.214286,4,4,261,0,1,DY+1,L,Yes,0.0,0,0
WHL,10438/darren-helm,F,2007,20.65,59,25,39,64,1.084746,3,3,201,0,1,DY+2,L,Yes,0.36089,629,1
WHL,10440/kenndal-mcardle,F,2007,20.697222,63,19,23,42,0.666667,4,4,259,0,1,DY+2,L,Yes,0.07142899999999999,42,1
WHL,104460/kirill-vorobyov,D,2013,18.594444,53,1,4,5,0.09,1,1,53,1,0,DY,L,No,0.0,0,0
WHL,10450/emil-sylvegard,F,2013,20.536111,68,4,15,19,0.279412,2,2,133,0,0,DY+2,L,No,0.0,0,0
WHL,10459/sean-zimmerman,D,2007,20.308332999999998,60,2,12,14,0.23333299999999998,4,4,270,0,1,DY+2,R,Yes,0.0,0,0
WHL,10479/daniel-rakos,F,2007,20.305556,63,16,19,35,0.555556,2,2,133,0,0,DY+2,L,No,0.0,0,0
WHL,10481/michal-repik,F,2008,19.708333,51,27,34,61,1.196078,3,3,176,0,1,DY+1,R,Yes,0.277778,72,1
WHL,104813/aaron-foster,F,2003,20.836111,48,18,19,37,0.770833,4,4,225,0,1,DY+2,L,No,0.0,0,0
