,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
14629,QMJHL,232748/mathieu-lapointe,D,2002,18.655556,36,1,2,3,0.08,1,1,36,1,0,DY,-,No,0.0,0,0
14630,QMJHL,232752/jean-vincent-lachance,F,2002,18.377778,33,0,1,1,0.03,1,1,33,1,0,DY,-,No,0.0,0,0
14631,QMJHL,232785/carl-zacharie,F,2002,18.433332999999998,27,1,2,3,0.11,1,1,27,1,0,DY,R,No,0.0,0,0
14632,OHL,23279/joel-petkoff,F,2003,21.444444,6,1,0,1,0.17,1,0,6,1,0,DY+3,R,No,0.0,0,0
14637,QMJHL,232840/adam-holwell,D,2018,21.519444,67,10,40,50,0.746269,5,5,329,0,1,DY+3,L,No,0.0,0,0
14638,USHL,232918/nick-azar,D,2017,20.672222,48,2,3,5,0.10416700000000001,1,1,48,1,0,DY+2,L,No,0.0,0,0
14639,USHL,232927/r.j.-murphy,F,2017,18.952778,13,2,2,4,0.307692,1,0,13,1,0,DY,L,No,0.0,0,0
14640,USHL,232928/charley-michalowski,F,2016,20.255556,8,2,1,3,0.375,1,0,8,1,0,DY+2,R,No,0.0,0,0
14641,USHL,232931/ryan-shea,D,2016,19.594444,28,2,5,7,0.25,1,1,28,1,0,DY+1,L,Yes,0.0,0,0
14642,OHL,232937/owen-green,F,2015,18.477778,46,1,2,3,0.07,1,1,46,1,0,DY,L,No,0.0,0,0
14644,USHL,232945/joseph-cecconi,D,2015,18.311111,60,3,14,17,0.283333,2,2,88,0,0,DY,R,Yes,0.0,0,0
14646,USHL,232947/michael-bevilacqua,D,2018,21.355556,59,1,6,7,0.118644,2,2,103,0,0,DY+3,R,No,0.0,0,0
14650,WHL,23295/dale-hunt,F,2010,20.697222,35,1,2,3,0.09,4,4,190,0,1,DY+2,R,No,0.0,0,0
14651,USHL,232950/dominic-dockery,D,2017,20.702778,60,3,13,16,0.266667,1,1,60,1,0,DY+2,L,No,0.0,0,0
14652,USHL,232953/kyle-siemers,D,2016,19.927778,15,0,2,2,0.13333299999999998,1,0,15,1,0,DY+1,R,No,0.0,0,0
14653,USHL,232968/nicolas-carbone,F,2015,19.280556,5,1,0,1,0.2,1,0,5,1,0,DY+1,R,No,0.0,0,0
14656,WHL,23297/brett-connolly,F,2011,19.369444,59,46,27,73,1.237288,3,2,140,0,0,DY+1,R,Yes,0.362998,427,1
14657,USHL,232971/nick-jenny,D,2016,20.227778,57,2,10,12,0.21052600000000002,1,1,57,1,0,DY+2,R,No,0.0,0,0
14661,WHL,23298/david-musil,D,2013,20.433332999999998,62,9,22,31,0.5,4,4,254,0,1,DY+2,L,Yes,0.5,4,1
14663,USHL,233028/maxim-letunov,F,2015,19.569444,58,25,39,64,1.103448,2,2,118,0,0,DY+1,L,Yes,0.0,0,0
14666,OHL,233030/matthew-tkachuk,F,2016,18.761111,57,30,77,107,1.8771930000000001,3,3,114,0,1,DY,L,Yes,0.776786,224,1
14671,WHL,23314/neil-manning,D,2012,21.341667,59,7,35,42,0.711864,5,5,307,0,1,DY+3,L,No,0.0,0,0
14675,WHL,23315/michael-piluso,F,2011,20.933332999999998,65,14,17,31,0.47692299999999993,4,4,231,0,1,DY+2,L,No,0.0,0,0
14676,QMJHL,233167/grant-donovan,F,2000,18.936111,54,7,8,15,0.277778,1,1,54,1,0,DY,L,No,0.0,0,0
14681,WHL,23317/adam-hughesman,F,2012,21.541667,72,50,66,116,1.611111,5,5,335,0,1,DY+3,L,No,0.0,0,0
14685,WHL,23318/spencer-mcavoy,D,2009,21.063889,71,5,39,44,0.619718,4,4,243,0,1,DY+3,R,No,0.0,0,0
