LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
QMJHL,37079/samuel-lachance,D,2012,20.55,2,0,1,1,0.5,2,0,36,0,0,DY+2,R,No,0.0,0,0
QMJHL,37080/andrew-wigginton,F,2011,20.080556,5,0,2,2,0.4,2,0,32,0,0,DY+2,R,No,0.0,0,0
QMJHL,37082/marshall-worden,F,2011,19.830556,6,0,1,1,0.17,1,0,6,1,0,DY+1,L,No,0.0,0,0
QMJHL,37084/stephane-michaud,F,2009,20.313889,64,14,19,33,0.515625,3,3,182,0,1,DY+2,L,No,0.0,0,0
QMJHL,37085/marc-olivier-mimar,F,2012,20.85,21,5,9,14,0.666667,4,4,172,0,1,DY+2,R,No,0.0,0,0
QMJHL,37086/michael-trudel,D,2010,20.316667000000002,57,1,3,4,0.07,3,3,171,0,1,DY+2,L,No,0.0,0,0
QMJHL,37087/emrik-guillemette,F,2012,21.594444,5,1,1,2,0.4,4,0,190,0,1,DY+3,R,No,0.0,0,0
QMJHL,37088/nicolas-sigouin,D,2009,20.158333,68,2,15,17,0.25,4,4,244,0,1,DY+2,L,No,0.0,0,0
QMJHL,37089/guillaume-langelier-parent,F,2010,20.391667,40,4,3,7,0.18,2,2,96,0,0,DY+2,R,No,0.0,0,0
QMJHL,37090/mike-villeneuve,F,2010,20.338889,68,16,20,36,0.529412,3,3,178,0,1,DY+2,L,No,0.0,0,0
QMJHL,37091/david-duhamel,F,2010,18.836111,5,1,0,1,0.2,2,0,56,0,0,DY,L,No,0.0,0,0
QMJHL,37092/maxime-ouimet,D,2009,21.608333,65,4,20,24,0.369231,4,4,262,0,1,DY+3,L,No,0.0,0,0
QMJHL,37093/tommy-samson,F,2009,19.533333,30,4,3,7,0.23,3,1,53,0,0,DY+1,L,No,0.0,0,0
QMJHL,37094/christopher-giroux,F,2010,18.083333,32,2,2,4,0.13,2,2,77,0,0,DY,R,No,0.0,0,0
QMJHL,37095/jonathan-parisien,D,2011,20.261111,65,3,17,20,0.307692,4,4,233,0,1,DY+2,L,No,0.0,0,0
QMJHL,37096/david-lizotte,F,2009,20.413889,10,0,3,3,0.3,2,0,48,0,0,DY+2,L,No,0.0,0,0
QMJHL,37097/simon-darveau,F,2013,21.15,4,1,0,1,0.25,5,0,183,0,1,DY+3,R,No,0.0,0,0
QMJHL,37098/olivier-tremblay,F,2009,18.355556,36,0,1,1,0.03,1,1,36,1,0,DY,R,No,0.0,0,0
QMJHL,37099/alexandre-boivin,F,2008,20.305556,65,18,16,34,0.523077,4,4,204,0,1,DY+2,R,No,0.0,0,0
QMJHL,37101/anthony-taylor,F,2011,20.666667,59,13,6,19,0.322034,2,2,123,0,0,DY+2,L,No,0.0,0,0
QMJHL,37102/mario-boilard-jr.,F,2008,18.463889,1,0,0,0,0.0,1,0,1,1,0,DY,L,No,0.0,0,0
QMJHL,37273/nicolas-chouinard,F,2011,20.825,61,21,23,44,0.7213109999999999,4,4,259,0,1,DY+2,R,No,0.0,0,0
QMJHL,37274/francis-meilleur,D,2011,20.986110999999998,67,8,45,53,0.791045,4,4,264,0,1,DY+2,L,No,0.0,0,0
QMJHL,37275/jean-christophe-gauthier,F,2009,20.288889,66,10,18,28,0.424242,3,3,141,0,1,DY+2,L,No,0.0,0,0
QMJHL,37276/jeremy-gouchie,F,2011,21.391667,66,19,36,55,0.833333,4,4,259,0,1,DY+3,L,No,0.0,0,0
QMJHL,37277/stephen-horyl,F,2011,21.386111,4,1,1,2,0.5,3,0,79,0,0,DY+3,R,No,0.0,0,0
QMJHL,37278/murdoch-maclellan,F,2009,21.291667,10,5,4,9,0.9,3,0,116,0,0,DY+3,R,No,0.0,0,0
QMJHL,37279/myles-micallef,D,2010,19.997222,26,1,2,3,0.12,2,2,76,0,0,DY+1,L,No,0.0,0,0
QMJHL,37280/logan-shaw,F,2013,20.944444,67,26,42,68,1.014925,5,5,311,0,1,DY+2,R,Yes,0.17222200000000001,180,1
QMJHL,37281/morgan-ellis,D,2012,20.375,60,15,37,52,0.866667,4,4,237,0,1,DY+2,R,Yes,0.0,3,1
QMJHL,37282/brett-mccarron,F,2009,19.511111,31,2,2,4,0.13,1,1,31,1,0,DY+1,L,No,0.0,0,0
QMJHL,37283/maximilien-le-sieur,F,2012,19.966667,61,20,17,37,0.606557,4,4,210,0,1,DY+1,R,No,0.0,0,0
